longitude,latitude,jour,intensite
3.907998,43.584349,Vendredi,886.1395348837209
3.907998,43.584349,Samedi,1118.1463414634147
3.907998,43.584349,Dimanche,1698.5348837209303
3.9089,43.6232,Lundi,425.078431372549
3.9089,43.6232,Mardi,494.96153846153845
3.9089,43.6232,Mercredi,418.6296296296296
3.9089,43.6232,Jeudi,450.31481481481484
3.9089,43.6232,Vendredi,315.8490566037736
3.9089,43.6232,Samedi,89.5576923076923
3.9089,43.6232,Dimanche,87.39622641509433
3.9089,43.6233,Lundi,190.76923076923077
3.9089,43.6233,Mardi,222.11111111111111
3.9089,43.6233,Mercredi,194.9056603773585
3.9089,43.6233,Jeudi,197.4
3.9089,43.6233,Vendredi,154.35185185185185
3.9089,43.6233,Samedi,64.15094339622641
3.9089,43.6233,Dimanche,60.18518518518518
3.9089,46.6232,Lundi,511.0
3.9089,46.6232,Mardi,496.5
3.9089,46.6232,Mercredi,467.0
3.9089,46.6232,Jeudi,0.0
3.9089,46.6232,Vendredi,411.0
3.9089,46.6232,Samedi,77.0
3.9089,46.6232,Dimanche,113.0
3.909632,43.615742,Lundi,528.4594594594595
3.909632,43.615742,Mardi,645.0833333333334
3.909632,43.615742,Mercredi,570.5
3.909632,43.615742,Jeudi,628.5277777777778
3.909632,43.615742,Vendredi,446.1714285714286
3.909632,43.615742,Samedi,128.44444444444446
3.909632,43.615742,Dimanche,129.9189189189189
3.913031,43.671214,Lundi,213.3
3.913031,43.671214,Mardi,243.34
3.913031,43.671214,Mercredi,234.2941176470588
3.913031,43.671214,Jeudi,216.80769230769232
3.913031,43.671214,Vendredi,196.96
3.913031,43.671214,Samedi,196.98
3.913031,43.671214,Dimanche,222.34615384615384
3.913589,43.610301,Lundi,582.48
3.913589,43.610301,Mardi,646.6078431372549
3.913589,43.610301,Mercredi,633.02
3.913589,43.610301,Jeudi,635.5882352941177
3.913589,43.610301,Vendredi,493.76
3.913589,43.610301,Samedi,227.52
3.913589,43.610301,Dimanche,218.21153846153845
3.915,43.6316,Lundi,555.9615384615385
3.915,43.6316,Mardi,630.8076923076923
3.915,43.6316,Mercredi,569.2115384615385
3.915,43.6316,Jeudi,591.2075471698113
3.915,43.6316,Vendredi,473.21153846153845
3.915,43.6316,Samedi,266.61538461538464
3.915,43.6316,Dimanche,254.22222222222223
3.929538,43.637601,Lundi,159.64150943396226
3.929538,43.637601,Mardi,172.77777777777777
3.929538,43.637601,Mercredi,153.03703703703704
3.929538,43.637601,Jeudi,159.38181818181818
3.929538,43.637601,Vendredi,138.0
3.929538,43.637601,Samedi,109.83018867924528
3.929538,43.637601,Dimanche,91.7090909090909
3.929726,43.637508,Lundi,76.88679245283019
3.929726,43.637508,Mardi,86.98148148148148
3.929726,43.637508,Mercredi,75.72222222222223
3.929726,43.637508,Jeudi,69.96363636363637
3.929726,43.637508,Vendredi,73.4074074074074
3.929726,43.637508,Samedi,49.64150943396226
3.929726,43.637508,Dimanche,30.30909090909091
3.93324,43.57883,Lundi,662.2115384615385
3.93324,43.57883,Mardi,686.25
3.93324,43.57883,Mercredi,681.5
3.93324,43.57883,Jeudi,675.0188679245283
3.93324,43.57883,Vendredi,543.7115384615385
3.93324,43.57883,Samedi,499.61538461538464
3.93324,43.57883,Dimanche,492.6981132075472
3.93327,43.57926,Lundi,185.3265306122449
3.93327,43.57926,Mardi,215.16326530612244
3.93327,43.57926,Mercredi,200.42857142857142
3.93327,43.57926,Jeudi,202.86
3.93327,43.57926,Vendredi,153.32
3.93327,43.57926,Samedi,82.78
3.93327,43.57926,Dimanche,74.86274509803921
