Departure station,Departure,Return station,Return,Duration (sec.),Covered distance (m),departure_latitude,departure_longitude,return_latitude,return_longitude
Albert 1er - Cathedrale,2023-12-15 20:31:35,Hôtel de Ville,2023-12-15 21:10:14,2316,5715.0,43.6148176,3.8737832,43.5985194,3.896631891721937
Albert 1er - Cathedrale,2023-12-15 20:31:11,Hôtel de Ville,2023-12-15 21:10:03,2328,6242.0,43.6148176,3.8737832,43.5985194,3.896631891721937
Fac des Sciences,2023-12-15 20:22:59,Saint-Guilhem - Courreau,2023-12-15 20:33:32,628,2438.0,43.6312537,3.8612405,43.6081132,3.8735064
Marie Caizergues,2023-12-15 20:18:53,Corum,2023-12-15 20:25:00,363,1037.0,43.619655,3.8733067,43.614366,3.882027979797976
Place Albert 1er - St-Charles,2023-12-15 20:18:18,Les Aubes,2023-12-15 20:27:51,569,1837.0,43.6165623,3.874061,43.6192157,3.8913335
Saint-Guilhem - Courreau,2023-12-15 20:10:12,Richter,2023-12-16 17:20:45,76227,3336.0,43.6081132,3.8735064,43.6037969,3.8989223
Halles Castellane,2023-12-15 20:09:26,Père Soulas,2023-12-15 20:25:52,976,2393.0,43.61012445,3.876843401959306,43.6219699,3.855618
Saint-Guilhem - Courreau,2023-12-15 20:08:58,Saint-Guilhem - Courreau,2023-12-15 22:53:27,9864,3201.0,43.6081132,3.8735064,43.6081132,3.8735064
Plan Cabanes,2023-12-15 19:58:40,Fac des Sciences,2023-12-15 20:15:55,1031,2726.0,43.60849965,3.868610969046943,43.6312537,3.8612405
Garcia Lorca,2023-12-15 19:56:43,Garcia Lorca,2023-12-15 20:32:51,2163,939.0,43.58775425,3.887108641280807,43.58775425,3.887108641280807
Celleneuve,2023-12-15 19:55:20,Plan Cabanes,2023-12-15 20:09:51,866,2942.0,43.6137045,3.8245262,43.60849965,3.868610969046943
Celleneuve,2023-12-15 19:54:51,Plan Cabanes,2023-12-15 20:09:46,891,3052.0,43.6137045,3.8245262,43.60849965,3.868610969046943
Port Marianne,2023-12-15 19:54:38,Observatoire,2023-12-15 20:05:46,662,2315.0,43.6059165,3.9168169,43.61452665,3.871080728556718
Providence-Ovalie,2023-12-15 19:50:27,Comédie,2023-12-15 20:07:02,990,3132.0,43.5882994,3.8534561,43.60918635,3.8815040936105776
Marie Caizergues,2023-12-15 19:49:15,Jardin de la Lironde,2023-12-15 20:03:30,850,4192.0,43.619655,3.8733067,43.6058517,3.9115715
Tonnelles,2023-12-15 19:46:25,Louis Blanc,2023-12-15 21:15:40,5351,4165.0,43.6140875,3.83801455899281,43.6146919,3.8782052427712976
Odysseum,2023-12-15 19:46:21,Saint-Denis,2023-12-15 20:05:08,1122,4280.0,43.60441055,3.9212018171142855,43.6050394,3.8750227
